timestamp,harness_version,config_fingerprint,endpoint_name,provider,model,base_url,endpoint_region,thinking_effort,max_tokens,release_version,adaptive_thinking,checker_timeout,prompt_style,request_timeout_s,sandbox_image,cpu_limit,memory_limit,tool_configuration,economy_policy,problem_id,difficulty,problem_number,run_idx,attempt_idx,request_status,inference_outcome,stop_reason,request_id,input_tokens,billed_output_tokens,reasoning_tokens,visible_output_tokens,visible_output_tokens_approx,ttft_s,first_stream_event_s,first_observable_output_s,last_observable_output_s,observable_chunk_count,gen_time_s,generation_wall_s,inference_time_s,tool_time_s,retry_api_time_s,backoff_time_s,harness_overhead_s,total_wall_s,billed_output_tokens_per_second,passed,artifact_path,error_type,error_message
2026-07-11T23:25:51.057930+00:00,4,590eb9c6627ed7e8,openai-model-fast-v6-hard1-5-xhigh-v4,openai,gpt-5.5-koffing-castor-kosmo-0527-test-ev3,https://api.openai.com/v1,unspecified,xhigh,32000,v6,True,6,OpenAIChat,900.0,local,unspecified,unspecified,none,none,abc387_f,hard,1,1,1,completed,completed,completed,resp_0b9d3060d19c42d4016a52d100d65c8199872dba746fd7018f,451,3827,3106,721,False,17.160645,1.010294,17.160645,18.263475,15,1.102831,17.109300,18.338187,0.000000,0.000000,0.000000,7.041683,25.379870,208.690,True,lcb_hard1-5_model_fast_vs_fable_xhigh_v4_2026-07-11_artifacts/openai-model-fast-v6-hard1-5-xhigh-v4/590eb9c6627ed7e8/abc387_f/run_1_attempt_1.txt,,
2026-07-11T23:26:16.438522+00:00,4,50c70a1c3777d741,anthropic-claude-fable-5-v6-hard1-5-xhigh-v4,anthropic,claude-fable-5,,unspecified,xhigh,32000,v6,True,6,OpenAIChat,900.0,local,unspecified,unspecified,none,none,abc387_f,hard,1,1,1,completed,completed,end_turn,msg_011Ccw8nxBqmim6RikSEqzNn,596,6255,,,,65.827403,4.426798,65.827403,75.646222,23,9.818818,70.314413,75.710314,0.000000,0.000000,0.000000,4.606133,80.316447,82.618,True,lcb_hard1-5_model_fast_vs_fable_xhigh_v4_2026-07-11_artifacts/anthropic-claude-fable-5-v6-hard1-5-xhigh-v4/50c70a1c3777d741/abc387_f/run_1_attempt_1.txt,,
2026-07-11T23:27:36.756607+00:00,4,50c70a1c3777d741,anthropic-claude-fable-5-v6-hard1-5-xhigh-v4,anthropic,claude-fable-5,,unspecified,xhigh,32000,v6,True,6,OpenAIChat,900.0,local,unspecified,unspecified,none,none,abc388_g,hard,2,1,1,completed,completed,end_turn,msg_011Ccw8toE1cMmjxMZckKv8K,1305,7583,,,,74.143611,4.445289,74.143611,84.568231,24,10.424620,79.161184,84.611830,0.000000,0.000000,0.000000,4.009731,88.621561,89.621,True,lcb_hard1-5_model_fast_vs_fable_xhigh_v4_2026-07-11_artifacts/anthropic-claude-fable-5-v6-hard1-5-xhigh-v4/50c70a1c3777d741/abc388_g/run_1_attempt_1.txt,,
2026-07-11T23:29:05.380589+00:00,4,590eb9c6627ed7e8,openai-model-fast-v6-hard1-5-xhigh-v4,openai,gpt-5.5-koffing-castor-kosmo-0527-test-ev3,https://api.openai.com/v1,unspecified,xhigh,32000,v6,True,6,OpenAIChat,900.0,local,unspecified,unspecified,none,none,abc388_g,hard,2,1,1,completed,completed,completed,resp_0f161ac892efcc6d016a52d1c2e1a08199901d8fb23ae87198,1052,4060,3584,476,False,19.805536,1.033223,19.805536,20.520782,10,0.715246,19.245899,20.618158,0.000000,0.000000,0.000000,3.545068,24.163225,196.914,False,lcb_hard1-5_model_fast_vs_fable_xhigh_v4_2026-07-11_artifacts/openai-model-fast-v6-hard1-5-xhigh-v4/590eb9c6627ed7e8/abc388_g/run_1_attempt_1.txt,,
2026-07-11T23:29:29.545710+00:00,4,590eb9c6627ed7e8,openai-model-fast-v6-hard1-5-xhigh-v4,openai,gpt-5.5-koffing-castor-kosmo-0527-test-ev3,https://api.openai.com/v1,unspecified,xhigh,32000,v6,True,6,OpenAIChat,900.0,local,unspecified,unspecified,none,none,abc388_f,hard,3,1,1,completed,completed,completed,resp_030194aea1672df2016a52d1dae2d88198a98e2db0fef0435b,592,2390,1903,487,False,11.612531,0.685091,11.612531,12.332904,11,0.720373,11.229042,12.408305,0.000000,0.000000,0.000000,3.611009,16.019314,192.613,True,lcb_hard1-5_model_fast_vs_fable_xhigh_v4_2026-07-11_artifacts/openai-model-fast-v6-hard1-5-xhigh-v4/590eb9c6627ed7e8/abc388_f/run_1_attempt_1.txt,,
2026-07-11T23:29:45.566069+00:00,4,50c70a1c3777d741,anthropic-claude-fable-5-v6-hard1-5-xhigh-v4,anthropic,claude-fable-5,,unspecified,xhigh,32000,v6,True,6,OpenAIChat,900.0,local,unspecified,unspecified,none,none,abc388_f,hard,3,1,1,completed,completed,end_turn,msg_011Ccw94JNhh2f81bhaAmjMQ,769,15358,,,,175.801183,3.470399,175.801183,189.987373,31,14.186190,185.561156,190.019214,0.000000,0.000000,0.000000,4.111227,194.130441,80.823,True,lcb_hard1-5_model_fast_vs_fable_xhigh_v4_2026-07-11_artifacts/anthropic-claude-fable-5-v6-hard1-5-xhigh-v4/50c70a1c3777d741/abc388_f/run_1_attempt_1.txt,,
2026-07-11T23:32:59.699965+00:00,4,50c70a1c3777d741,anthropic-claude-fable-5-v6-hard1-5-xhigh-v4,anthropic,claude-fable-5,,unspecified,xhigh,32000,v6,True,6,OpenAIChat,900.0,local,unspecified,unspecified,none,none,abc388_e,hard,4,1,1,completed,completed,end_turn,msg_011Ccw9Jhuh1vJ5Ja7MunQ6m,776,409,,,,25.030023,22.657981,25.030023,27.473647,6,2.443625,4.458090,27.558707,0.000000,0.000000,0.000000,4.549722,32.108428,14.841,True,lcb_hard1-5_model_fast_vs_fable_xhigh_v4_2026-07-11_artifacts/anthropic-claude-fable-5-v6-hard1-5-xhigh-v4/50c70a1c3777d741/abc388_e/run_1_attempt_1.txt,,
2026-07-11T23:33:31.809416+00:00,4,590eb9c6627ed7e8,openai-model-fast-v6-hard1-5-xhigh-v4,openai,gpt-5.5-koffing-castor-kosmo-0527-test-ev3,https://api.openai.com/v1,unspecified,xhigh,32000,v6,True,6,OpenAIChat,900.0,local,unspecified,unspecified,none,none,abc388_e,hard,4,1,1,completed,completed,completed,resp_0eef3b2586009623016a52d2cd9954819a9cb4101ba846ed9f,582,482,354,128,False,3.148458,1.047218,3.148458,3.239712,3,0.091254,1.891470,3.337233,0.000000,0.000000,0.000000,3.348283,6.685515,144.431,True,lcb_hard1-5_model_fast_vs_fable_xhigh_v4_2026-07-11_artifacts/openai-model-fast-v6-hard1-5-xhigh-v4/590eb9c6627ed7e8/abc388_e/run_1_attempt_1.txt,,
2026-07-11T23:33:38.496300+00:00,4,590eb9c6627ed7e8,openai-model-fast-v6-hard1-5-xhigh-v4,openai,gpt-5.5-koffing-castor-kosmo-0527-test-ev3,https://api.openai.com/v1,unspecified,xhigh,32000,v6,True,6,OpenAIChat,900.0,local,unspecified,unspecified,none,none,abc389_g,hard,5,1,1,completed,completed,completed,resp_066e4c3d1130a3bf016a52d2d3ec888199a68d5e53a6522551,623,9056,7694,1362,False,37.326024,0.823668,37.326024,39.549053,29,2.223029,38.337368,39.671883,0.000000,0.000000,0.000000,6.791065,46.462948,228.273,True,lcb_hard1-5_model_fast_vs_fable_xhigh_v4_2026-07-11_artifacts/openai-model-fast-v6-hard1-5-xhigh-v4/590eb9c6627ed7e8/abc389_g/run_1_attempt_1.txt,,
2026-07-11T23:34:24.961793+00:00,4,50c70a1c3777d741,anthropic-claude-fable-5-v6-hard1-5-xhigh-v4,anthropic,claude-fable-5,,unspecified,xhigh,32000,v6,True,6,OpenAIChat,900.0,local,unspecified,unspecified,none,none,abc389_g,hard,5,1,1,completed,completed,end_turn,msg_011Ccw9QuvRPxMDJ5dYHTDPJ,818,31478,,,,379.725128,3.051401,379.725128,394.211330,31,14.486202,392.236112,395.908530,0.000000,0.000000,0.000000,4.998878,400.907408,79.508,True,lcb_hard1-5_model_fast_vs_fable_xhigh_v4_2026-07-11_artifacts/anthropic-claude-fable-5-v6-hard1-5-xhigh-v4/50c70a1c3777d741/abc389_g/run_1_attempt_1.txt,,
